Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Determination of Interaction Between Criteria and the Criteria Priorities in Laptop Selection Problem","Brand image and price are the most important criteria in laptop selection, with other/peripheral properties and price having two-thirds priority among six main criteria.","Fatma Sönmez Çakır, Mehmet Pekkaya",2020,15,"The statistic of global laptop shipment showed that 161.6 million laptops were sold, 65.23% more than desktop-PCs, and almost the same quantity as tablets in 2017. So, laptop demand is quite high and needs to be researched on what kind of criteria (properties) are crucial. Since there are more than one criteria, this study focuses on multi-criteria decision-making (MCDM) methods in selecting laptops. This study aims to determine the interaction between criteria, and the criteria priorities in laptop selection problem that can be added/changing new features every day and to present the findings/results to the researcher/decision-makers. DEMATEL method is used for determining the interactions which are not observed in laptop literature, and fuzzy AHP is for criteria priorities. The price and brand image of a laptop have more interrelated action than the other main criteria. According to results, the brand image is determined as the most important criteria. Along with the brand image, other/peripheral properties and price criteria have totally two-thirds priority among six main criteria. The brand image along with the price had a dominant effect on other criteria according to the interaction matrices/diagrams. This study also shows that criteria priority results should be considered along with interaction matrices/diagrams that may produce such following information: speed, storage, monitor and other/peripheral properties criteria have overall effecting feature but not strongly, while brand image is a transition criterion along with having the highest priority, and the price criterion is obviously being affected by all criteria.","theoretical, modeling, or simulation study","International Journal of Fuzzy Systems","2","10.1007/s40815-020-00857-2","https://consensus.app/papers/determination-of-interaction-between-criteria-and-the-akr-pekkaya/748cd832417953428ff34d3fdb823403/"
"An Analysis for Selecting Best Smartphone Model by AHP-TOPSIS Decision-Making Methodology","The integrated AHP-TOPSIS methodology effectively selects the best smartphone model based on price, internal storage, RAM, and brand, with Samsung J7 being the top choice.","S. Goswami, D. Behera",2021,18,"This article presents the detailed study of integrated AHP-TOPSIS multiple-criteria decision-making (MCDM) methodology. For these purposes, a real-life example is taken where the best smartphone mobile model is proposed among 10 different available models by implementing integrated AHP-TOPSIS methodology. The 10 mobile models selected for this analysis are presently available in the market and are from different brands having different specifications and price range. The selection process is done based on four major criteria (i.e., price, internal storage, RAM, and brand). AHP is applied for the criteria weightage's calculation, whereas TOPSIS is adopted for selecting the best alternative and make a preference ranking order indicating the best model to the worst. The final result shows that Samsung J7 is the best smartphone model followed by Redmi 7A, and Redmi K20 pro occupies the last position; thus, it is the worst model among the group.","","Int. J. Serv. Sci. Manag. Eng. Technol.","2","10.4018/ijssmet.2021050107","https://consensus.app/papers/an-analysis-for-selecting-best-smartphone-model-by-goswami-behera/af6e0683a6fd5f8c990813f6a0dbb912/"
"Evaluation and Selection of Mobile Phones using Integrated AHP-TOPSIS Model","Apple is the most desired mobile phone among undergraduate students, with technical specification and user-related features being the most significant decision factors in their mobile phone selection.","Weng Siew Lam, Weng Hoe Lam, Kah Fai Liew, Mohd Abidin Bakar, Chooi Peng Lai",2023,8,"Mobile phones are electronic telecommunication devices that have become a necessary part of life. The advances in technology will directly influence the attitude of the users in the selection of mobile phones. There are multiple criteria that need to be considered in selecting a mobile phone. Therefore, the evaluation and selection of mobile phones is a Multi-Criteria Decision Making (MCDM) problem. This paper aims to propose a MCDM model to identify the decision criteria’ priority in the mobile phones’ selection using integrated AHP-TOPSIS model. Furthermore, the goal of the study is to find out the most desired mobile phone among Samsung, Apple, Oppo, Huawei, and Vivo. A case study is conducted to determine the priority of decision criteria and mobile phones among the undergraduate students with AHP-TOPSIS model. The results indicate that Apple is the most desired mobile phone, followed by Huawei, Samsung, Oppo, and Vivo. Besides, technical specification and user related features are the most significant decision factors in the mobile phones’ selection. The contribution of the study is to find out the most desired mobile phone and the most significant decision factor in the mobile phones’ selection among undergraduate students with AHP-TOPSIS model.","","Journal of Advanced Research in Applied Sciences and Engineering Technology","2","10.37934/araset.33.2.2539","https://consensus.app/papers/evaluation-and-selection-of-mobile-phones-using-lam-lam/6936096f80e1581fa3fe569df596bdd1/"
"A multi-criteria decision-making approach for portfolio selection by using an automatic spherical fuzzy AHP algorithm","The Spherical Fuzzy AHP (SFAHP) algorithm effectively selects the best portfolio among an efficient set of portfolios by combining the advantages of the Analytic Hierarchy Process (AHP) and Spherical Fuzzy Sets (SFS).","Muhammad Jawad, Munazza Naz, Haseena Muqaddus",2023,18,"Abstract Portfolio selection for Stock evaluation and selection by an investor is multi-criteria decision-making (MCDM) problem of finding the best portfolio among an efficient set of portfolios, which should be tackled by using the appropriate techniques. The Analytic Hierarchy Process (AHP) is amongst the most widely used MCDM methods, which is often used in operation management. The main feature of AHP is, that, it firstly reduces the complex decision problems in hierarchical structures of objectives, criteria, sub-criteria, and alternatives and then, uses a fundamental scale to construct pairwise comparisons. The Spherical Fuzzy Sets (SFS) have many advantages in handling the uncertainty and vagueness of ordinary and 2D Fuzzy Sets (FS)s. Therefore, taking the advantage of AHP and SFSs in this paper, we modify the Fuzzy Analytic Hierarchy Process (FAHP) into Spherical fuzzy AHP (SFAHP). We introduce the concept of Spherical Fuzzy Preference Relation (SFPR) and develop an automatic algorithm to construct a consistent SFPR from an inconsistent one. The validity of the proposed approach is tested through an illustrative application of portfolio selection on the Pakistan Stock Exchange to make a prototype of our results.","theoretical, modeling, or simulation study","Journal of the Operational Research Society","1","10.1080/01605682.2023.2174905","https://consensus.app/papers/a-multicriteria-decisionmaking-approach-for-portfolio-jawad-naz/f0e40a51365850cda92cec2fb3f19deb/"
"State-of-the-art review on multi-criteria decision-making in the transport sector","Multi-criteria decision-making methods are mostly used to evaluate transport options, with the analytic hierarchy process being the most commonly used method in the transport sector.","G. Yannis, A. Kopsacheili, Anastasios Dragomanovits, Virginia Petraki",2020,217,"","literature review","Journal of Traffic and Transportation Engineering (English Edition)","1","10.1016/j.jtte.2020.05.005","https://consensus.app/papers/stateoftheart-review-on-multicriteria-decisionmaking-in-yannis-kopsacheili/50f93c15ae32509c8dc9289d80c04938/"
"A REVIEW OF MULTI-CRITERIA DECISION-MAKING METHODS FOR BUILDING ASSESSMENT, SELECTION, AND RETROFIT","Multiple criteria decision-making (MCDM) methods can effectively integrate safety and sustainability considerations in assessing, selecting, and retrofitting buildings.","Paola Villalba, Antonio J. Sánchez-Garrido, Víctor Yepes",2024,27,"Multiple criteria decision-making (MCDM) has experienced significant growth in recent years, owing to its capacity to integrate even contradictory criteria. This study conducted a comprehensive literature review of MCDM for assessing, selecting, and retrofitting buildings. The bibliometric search used a search algorithm in specialized databases. A filtering and expansion process was done by reviewing references, and 91 relevant articles were selected. The analysis revealed that in a group of studies, socioeconomic criteria were used to assess the vulnerability of buildings. On the other hand, some research integrated the three dimensions of sustainability (economic, social, and environmental) along with safety considerations when identifying optimal retrofit alternatives. Classic MCDMs are prevalent in research within this field. Among the most used methods, the Analytic Hierarchy Process (AHP) was employed for criteria weighting, Simple Additive Weighting (SAW) for constructing vulnerability indices, and Technique for Order Preference by Similarity to Ideal Solution (TOPSIS) for building retrofitting. This literature review contributes to the path toward a holistic renovation of the existing building stock, providing recommendations for future research to improve decision-making solutions for integrating the safety and sustainability of existing buildings.","systematic review","JOURNAL OF CIVIL ENGINEERING AND MANAGEMENT","2","10.3846/jcem.2024.21621","https://consensus.app/papers/a-review-of-multicriteria-decisionmaking-methods-for-villalba-snchez-garrido/f6161dd3aa985c668fe1487775bdde3f/"
"An Integrated Approach for Supplier Evaluation and Selection using the Delphi Method and Analytic Hierarchy Process (AHP): A New Framework","The hybrid multi-criteria decision-making approach integrating the Delphi method and Analytic Hierarchy Process effectively selects suppliers for SMEs, with price being the most important factor.","M. A. Al Hazza, A. Abdelwahed, M. Y. Ali, A. A. Sidek",2022,33,". Supplier selection is one of the most critical processes in supply chain management (SCM). Most small and medium enterprises (SMEs) face difficulties choosing the best supplier using conventional methods. A hybrid multi-criteria decision-making (MCDM) approach is proposed in supplier selection. This proposed framework integrates the Delphi technique as a data-gathering tool and Analytic Hierarchy Process (AHP) as the MCDM methodology for data analysis; both were used to select an effective supplier. This project applies the Delphi technique, allows experts to select the main criteria, and compares the trade-offs between the available alternatives depending on the main criteria. The criteria selected were price, delivery time, online ranking, rejection rate, and flexibility. Using the AHP approach, the criteria's weights were then assigned. The highest was for the price (43.84%), followed by the rejection rate (21.81%), online ranking (19.27%), delivery time (9.44%), and flexibility (5.64%). Lastly, a new framework was suggested using the weighted criteria collection for supplier selection.","","International Journal of Technology","1","10.14716/ijtech.v13i1.4700","https://consensus.app/papers/an-integrated-approach-for-supplier-evaluation-and-hazza-abdelwahed/0b3400e6d76c5d9eb0970f9722ebf5fd/"
"Supplier selection for aerospace & defense industry through MCDM methods","MCDM methods can simplify and standardize supplier selection for aerospace & defense companies, but incorporating sustainability and technology can significantly change the process.","A. Rasmussen, Haris Sabic, Subrata Saha, I. Nielsen",2022,53,"","","Cleaner Engineering and Technology","1","10.1016/j.clet.2022.100590","https://consensus.app/papers/supplier-selection-for-aerospace-defense-industry-rasmussen-sabic/93e4e54a8aab5c2ca3419a2490091bdf/"
"A Systematic Review of Implementing Multi-Criteria Decision-Making (MCDM) Approaches for the Circular Economy and Cost Assessment","Multi-Criteria Decision-Making (MCDM) is a valuable tool for evaluating the circular economy, balancing environmental, economic, and social criteria.","Ali Tighnavard Balasbaneh, Silvio Aldrovandi, Willy Sher",2025,41,"This study advances circular economy initiatives by advocating for the use of Multi-Criteria Decision-Making (MCDM). MCDM methods address the complex multi-faceted aspects of a product or process. They enable conflicting calculations of energy, cost, environmental criteria, and payback periods to be balanced. A systematic critical systematic review and bibliometric analysis were conducted to investigate the contribution of MCDM to the circular economy. The Scopus database was the primary data source reviewed. The geographical distribution, main research sources, and keyword co-occurrences were analyzed across 31 peer-reviewed book chapters, conference papers, and journal articles. The journal Sustainability (Switzerland) had the most publications (4), followed by the Journal of Business Strategy and the Environment and the Journal of Cleaner Production, each with two articles. Recently MCDM has gained popularity as a tool for evaluating the circular economy. This growing interest may be attributed to the complexity of the circular economy, as MCDM effectively balances multiple environmental criteria while integrating evaluations of economic cost and social impact. Criteria are incommensurable as each criterion has a distinct unit of measurement, making it impossible to compare outcomes across different indicators. MCDM is thus an ideal technique for assessing different options by integrating criteria within testable frameworks. However, no established patterns for selecting specific MCDM methods were identified. This is despite some options (e.g., combinations of AHP and TOPSIS) being used more frequently than others. In conclusion, all the studies identified financial factors as the most significant or highly sensitive issue in the transition toward a circular economy.","systematic review","Sustainability","1","10.3390/su17115007","https://consensus.app/papers/a-systematic-review-of-implementing-multicriteria-balasbaneh-aldrovandi/d34c0bc9e6a65a0db986af933af9d9c6/"
"An intuitionistic fuzzy data-driven product ranking model using sentiment analysis and multi-criteria decision-making","This study proposes an integrated framework that combines sentiment analysis and multi-criteria decision-making techniques based on intuitionistic fuzzy sets, improving product ranking through online customer reviews.","Jalil Heidary Dahooie, Romina Raafat, A. Qorbani, T. Daim",2021,93,"","theoretical, modeling, or simulation study","Technological Forecasting and Social Change","1","10.1016/j.techfore.2021.121158","https://consensus.app/papers/an-intuitionistic-fuzzy-datadriven-product-ranking-model-dahooie-raafat/bf77b28ebafb5bd18843928331a8a4a5/"
