Model,Price (USD),CPU,RAM,SSD,Brand,Weight (lbs),Battery (Wh)
Lenovo ThinkPad X1 Carbon Gen 13 Aura Edition,2289,Intel Ultra 7 258V (Beats U7 165),32GB,2TB,Lenovo,2.4,57
Lenovo ThinkPad X1 Carbon Gen 14 Aura Edition,3499,Intel Core Ultra 7 365 vPro Processor,32GB,2TB,Lenovo,2.2,58
Apple MacBook Air M4,1494,Apple M4 (10-core),24GB,512GB,Apple,2.73,53.8
Apple MacBook Air M5,1749,Apple M5 (10-core),24GB,1TB,Apple,2.71,53.8
Asus ExpertBook P5,1675,Ultra 7 258V,32GB,1TB,ASUS,2.84,63
HP EliteBook Ultra G1i,1539,Intel Core Ultra 7 258V,32GB,1TB,HP,3.0,56
Lenovo ThinkPad X9 15 Aura Edition (2025),1799,Intel Core Ultra 7 258V,32GB,1TB,Lenovo,3.08,80
Dell 14 Premium (XPS 14 2026),1890,Intel Core Ultra 7 255H,32GB,1TB,Dell,3.8,69.5
Lenovo ThinkPad T14 Gen 6 (AMD),1100,AMD Ryzen AI 5 340,16GB,512GB,Lenovo,3.1,57
Lenovo ThinkPad T14 Gen 7,2357,Intel Core Ultra 7 Series 3 355,32GB,512GB,Lenovo,4.9,60
Acer Aspire 5,395,Intel i3-1115G4 Dual Core Processor,8GB,128GB,Acer,3.6,48
Lenovo ThinkPad X1 Carbon Gen 12,1685,Intel Ultra 165U vPro Processor,32GB,1TB,Lenovo,2.37,57
